"country","points","price","province","title","variety","vintage"
"Italy",89,30,"Northeastern Italy","Marco Felluga 2005 Mongris Riserva Pinot Grigio (Collio)","Pinot Grigio",2005
"Italy",86,16,"Northeastern Italy","Peter Zemmer 2012 Pinot Grigio (Alto Adige)","Pinot Grigio",2012
"Italy",89,19,"Veneto","Villabella 2015 Vigna Morlongo  (Bardolino Classico)","Red Blend",2015
"Italy",86,44,"Tuscany","Poggio Antico 2009  Rosso di Montalcino","Sangiovese Grosso",2009
"Italy",89,26,"Piedmont","Cordero di Montezemolo 2012 Nebbiolo (Langhe)","Nebbiolo",2012
"Italy",87,19,"Northeastern Italy","La Vis 2014 Ritratti Pinot Grigio (Trentino)","Pinot Grigio",2014
"Italy",87,19,"Northeastern Italy","Eugenio Collavini 2007 Villa Canlungo Pinot Grigio (Collio)","Pinot Grigio",2007
"Italy",86,20,"Northeastern Italy","La Tunella 2014 Sauvignon (Friuli Colli Orientali)","Sauvignon",2014
"Italy",85,8,"Sicily & Sardinia","Fondo Antico 2010 I Versi Bianco White (Sicilia)","White Blend",2010
"Italy",88,36,"Tuscany","Querciavalle 2007 Losi Millennium Riserva  (Chianti Classico)","Sangiovese",2007
"Italy",90,47,"Tuscany","Tenuta dei Pianali 2009 Coronato Red (Toscana)","Red Blend",2009
"Italy",87,15,"Tuscany","Palmoletino 2012 Scarafone  (Montecucco)","Red Blend",2012
"Italy",86,14,"Sicily & Sardinia","Sella & Mosca 2008 La Cala  (Vermentino di Gallura)","Vermentino",2008
"Italy",87,10,"Veneto","La Cappuccina 2013 Pinot Grigio (Veneto)","Pinot Grigio",2013
"Italy",92,61,"Tuscany","Gualdo del Re 2007 I'Rennero Merlot (Val di Cornia Suvereto)","Merlot",2007
"Italy",90,55,"Tuscany","Sant Agnese dei F.lli Gigli 2003 Libatio Lunae Red (Toscana)","Red Blend",2003
"Italy",90,35,"Tuscany","Baracchi Riccardo 2012 Smeriglio Syrah (Cortona)","Syrah",2012
"Italy",87,20,"Northeastern Italy","Gaierhof 2007 Chardonnay (Trentino)","Chardonnay",2007
"Italy",85,70,"Piedmont","Virna Borgogno 2012 Cannubi Boschis  (Barolo)","Nebbiolo",2012
"Italy",90,22,"Northeastern Italy","Kí_ssler 2015 Sauvignon (Alto Adige)","Sauvignon",2015
"Italy",93,77,"Veneto","Masi 2011 Costasera Riserva  (Amarone della Valpolicella Classico)","Red Blend",2011
"Italy",89,55,"Veneto","Provolo 2001  Amarone della Valpolicella","Corvina, Rondinella, Molinara",2001
"Italy",89,16,"Sicily & Sardinia","Argiolas 2014 Serra Lori Rosato (Isola dei Nuraghi)","Rosato",2014
"Italy",87,23,"Central Italy","Conti di Buscareto 2008 Ammazzaconte  (Verdicchio dei Castelli di Jesi)","Verdicchio",2008
"Italy",90,33,"Northeastern Italy","Jermann 2015 Pinot Grigio (Friuli Venezia Giulia)","Pinot Grigio",2015
"Italy",87,27,"Piedmont","Cascina Bruciata 2008 Usignolo Nebbiolo (Langhe)","Nebbiolo",2008
"Italy",95,120,"Tuscany","Ridolfi 2012 Mercatale  (Brunello di Montalcino)","Sangiovese",2012
"Italy",90,150,"Tuscany","La Magia 2012 Ciliegio  (Brunello di Montalcino)","Sangiovese",2012
"Italy",92,79,"Veneto","Antolini 2009 Moropio  (Amarone della Valpolicella Classico)","Red Blend",2009
"Italy",90,28,"Northeastern Italy","Lis Neris 2008 Gris Pinot Grigio (Friuli Isonzo)","Pinot Grigio",2008
"Italy",88,18,"Tuscany","Bindella 2014 Fossolupaio  (Rosso di Montepulciano)","Red Blend",2014
"Italy",93,59,"Tuscany","La Poderina 2008  Brunello di Montalcino","Sangiovese Grosso",2008
"Italy",87,15,"Tuscany","Rocca di Montemassi 2008 Calasole Vermentino (Maremma)","Vermentino",2008
"Italy",87,17,"Veneto","Ca' Rugate 2010 San Michele  (Soave Classico)","Garganega",2010
"Italy",91,39,"Sicily & Sardinia","Planeta 2005 Santa Cecilia Nero d'Avola (Sicilia)","Nero d'Avola",2005
"Italy",90,24,"Tuscany","Castello di Poppiano 2004 Conte Ferdinando Guicciardini Syrah (Colli della Toscana Centrale)","Syrah",2004
"Italy",87,13,"Sicily & Sardinia","Curto 2016 Poiano Inzolia (Terre Siciliane)","Inzolia",2016
"Italy",86,14,"Tuscany","Vecchia Cantina di Montepulciano 2011 Poggio Stella Merlot (Cortona)","Merlot",2011
"Italy",85,16,"Central Italy","Moretti Omero 2009 Nessuno White (Umbria)","White Blend",2009
"Italy",88,36,"Southern Italy","Terre del Principe 2012 Fontanavigna Pallagrello Bianco (Terre del Volturno)","Pallagrello Bianco",2012
"Italy",90,25,"Piedmont","Poderi Colla 2013 Costa Bruna  (Barbera d'Alba)","Barbera",2013
"Italy",84,14,"Central Italy","Stefano Berti 2011 Bartimeo Sangiovese (Romagna)","Sangiovese",2011
"Italy",86,12,"Tuscany","Cecchi 2013 Bonizio Red (Toscana)","Red Blend",2013
"Italy",87,14,"Southern Italy","I Capitani 2011 Clarum White (Irpinia)","White Blend",2011
"Italy",87,14,"Northeastern Italy","Tolloy 2013 Pinot Grigio (Vigneti delle Dolomiti)","Pinot Grigio",2013
"Italy",89,45,"Veneto","Delibori 2009  Amarone della Valpolicella","Red Blend",2009
"Italy",95,110,"Tuscany","Livio Sassetti 2010 Pertimali Riserva  (Brunello di Montalcino)","Sangiovese",2010
"Italy",89,20,"Northeastern Italy","Andriano 2015 Pinot Grigio (Alto Adige)","Pinot Grigio",2015
"Italy",93,90,"Tuscany","Castello del Terriccio 1998 Lupicaia Cabernet Sauvignon (Toscana)","Cabernet Sauvignon",1998
"Italy",91,90,"Tuscany","Padelletti 2011  Rosso di Montalcino","Sangiovese",2011
"Italy",94,103,"Piedmont","Ca'RomíÂ 2011 Cerretta  (Barolo)","Nebbiolo",2011
